LocationId,City,State,LocationCounty,MatchStatus,SourceGeoType,SourceStateName,SourceGeoName,SourceDistanceMiles,Year,DaysWithAQI,MedianAQI,P90AQI,MaxAQI,GoodDays,ModerateDays,UnhealthySensitiveDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,SourceUrl
16,Bridgeport,CT,Fairfield,matched_county,county,Connecticut,Fairfield,,2025,365,44,74,174,236,108,19,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
17,Wilmington,DE,New Castle,matched_county,county,Delaware,New Castle,,2025,365,44,67,161,235,126,3,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
19,Malabar,FL,Brevard,matched_county,county,Florida,Brevard,,2025,365,38,50,80,333,32,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
72,Orlando,FL,Orange,matched_county,county,Florida,Orange,,2025,365,43,58,105,266,98,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
18,Pensacola,FL,Escambia,matched_county,county,Florida,Escambia,,2025,365,43,57,104,269,95,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
20,Atlanta,GA,Fulton,matched_county,county,Georgia,Fulton,,2025,365,49,64,129,198,163,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
77,Marietta,GA,Cobb,matched_county,county,Georgia,Cobb,,2025,245,35,47,74,229,16,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
21,Honolulu,HI,Honolulu,matched_county,county,Hawaii,Honolulu,,2025,365,29,39,59,355,10,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
83,Carroll,IA,Carroll,matched_nearest_county,nearest_county,Iowa,Webster County,43.3,2025,184,45,65,165,109,71,2,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
82,Decorah,IA,Winneshiek,matched_nearest_county,nearest_county,Iowa,Bremer County,45.2,2025,241,38,54,115,210,30,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
22,Des Moines,IA,Polk,matched_county,county,Iowa,Polk,,2025,365,44,64,136,224,139,2,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
24,Boise,ID,Ada,matched_county,county,Idaho,Ada,,2025,365,42,61,97,270,95,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
23,Kuna,ID,Ada,matched_county,county,Idaho,Ada,,2025,365,42,61,97,270,95,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
66,Chicago,IL,Cook,matched_county,county,Illinois,Cook,,2025,365,53,84,168,149,191,20,5,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
70,Danville,IL,Vermilion,matched_nearest_county,nearest_county,Illinois,Champaign County,31,2025,365,43,66,138,240,121,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
87,Fort Wayne,IN,Allen,matched_county,county,Indiana,Allen,,2025,365,44,69,115,219,143,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
25,Indianopolis,IN,Marion,matched_county,county,Indiana,Marion,,2025,365,54,71,170,146,214,3,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
74,Overland Park,KS,Johnson,matched_county,county,Kansas,Johnson,,2025,365,44,60,188,250,112,1,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
26,Wichita,KS,Sedgwick,matched_county,county,Kansas,Sedgwick,,2025,365,48,63,192,210,154,0,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
27,Louisville,KY,Jefferson,matched_county,county,Kentucky,Jefferson,,2025,365,49,67,153,188,167,9,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
28,New Orleans,LA,Orleans,matched_county,county,Louisiana,Orleans,,2025,365,42,55,71,259,106,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
29,Boston,MA,Suffolk,matched_county,county,Massachusetts,Suffolk,,2025,365,37,60,106,279,84,2,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
30,Baltimore,MD,Baltimore,matched_county,county,Maryland,Baltimore,,2025,365,45,65,129,236,126,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
86,Bath,ME,Sagadahoc,matched_county,county,Maine,Sagadahoc,,2025,217,35,47,108,207,9,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
31,Portland,ME,Cumberland,matched_county,county,Maine,Cumberland,,2025,365,39,62,136,271,89,5,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
32,Warren,MI,Macomb,matched_county,county,Michigan,Macomb,,2025,365,40,68,166,256,99,8,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
80,Burnsville,MN,Dakota,matched_county,county,Minnesota,Dakota,,2025,365,35,62,175,267,88,5,5,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
