Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
BAE Systems,Phenom,Business Development Director,"Business Development, Strategy & Planning",,"Sterling, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299776
BAE Systems,Phenom,Cloud Developer/Software Engineer (Expert),Engineering & Technology,,"Herndon, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301041
BAE Systems,Phenom,Experienced Software Engineer with Hardware Background (Hybrid),Engineering & Technology,,"Fort Worth, TX",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298220
BAE Systems,Phenom,2nd Shift - Customer Compliance Representative,Project & Program Management,,"Fort Wayne, IN",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299481
BAE Systems,Phenom,Engineer Senior - Electrical Hardware Lead,Engineering & Technology,,"Westminster, CO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299657
BAE Systems,Phenom,Senior Operations Program Manager,Project & Program Management,,"Greenlawn, NY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300302
BAE Systems,Phenom,Senior Systems Engineer,Engineering & Technology,,"Endicott, NY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299230
BAE Systems,Phenom,Environmental Engineer II,Other Professionals,,"Radford, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302232
BAE Systems,Phenom,Software Configuration Manager,Engineering & Technology,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302096
BAE Systems,Phenom,Program Planner,Project & Program Management,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302494
BAE Systems,Phenom,Program Quality Engineer | APKWS,Other Professionals,,"Hudson, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301976
BAE Systems,Phenom,Engineering Section Lead - Signal Exploitation Capability Group,Engineering & Technology,,"Hudson, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302063
BAE Systems,Phenom,Facilities Representative III – Custodial,Other Professionals,,"Broomfield, CO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302559
BAE Systems,Phenom,Program Manager III,Project & Program Management,,"Louisville, KY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302365
BAE Systems,Phenom,Manufacturing Technician,Manufacturing & Maintenance,,"Phoenix, AZ",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302412
BAE Systems,Phenom,Program Engineering Manager II,Engineering & Technology,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302218
BAE Systems,Phenom,Space Payload Prin Software Engineer - SIGN-ON BONUS,Engineering & Technology,,"Merrimack, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300788
BAE Systems,Phenom,Electrical Engineering Technician,Manufacturing & Maintenance,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300843
BAE Systems,Phenom,Principal Software Engineer,Engineering & Technology,,"Hudson, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300841
BAE Systems,Phenom,Air Systems Analyst - Mid,Other Professionals,,"Quantico, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300323
BAE Systems,Phenom,Sr. Principal II Software Engineer,Engineering & Technology,,"Totowa, NJ",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299710
BAE Systems,Phenom,Sr Imagery Analyst- St Louis,Intelligence,,"St. Louis, MO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301136
BAE Systems,Phenom,ISSO / ISSM AFGSC Task Force Detachment 11,Engineering & Technology,,"Malmstrom AFB, MT",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300613
BAE Systems,Phenom,"Deputy Director, Platform Engineering",Engineering & Technology,,"Merrimack, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301772
BAE Systems,Phenom,Supplier Quality Engineer - Subcontracts & Special Processess,Other Professionals,,"Endicott, NY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301276
BAE Systems,Phenom,Contract Administrator,Other Professionals,,"Greenlawn, NY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302433
BAE Systems,Phenom,Space Payload Prin Software Engineer - SIGN-ON BONUS,Engineering & Technology,,"Manassas, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300941
BAE Systems,Phenom,Test Technician III- 5k Sign on!,Engineering & Technology,,"Wayne, NJ",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299515
BAE Systems,Phenom,Automation Engineer,Engineering & Technology,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301847
BAE Systems,Phenom,"Electrical Engineering Coop (Spring/Summer 2027), Onsite",Engineering & Technology,,"Cedar Rapids, IA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301761
BAE Systems,Phenom,Environmental Program Manager,Project & Program Management,,"Malmstrom AFB, MT",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302002
BAE Systems,Phenom,Technical Specialist I - Mechanical & Machining,Manufacturing & Maintenance,,"Boulder, CO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302246
BAE Systems,Phenom,Imagery Analyst: St Louis,Intelligence,,"St. Louis, MO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=302924
